id,Name,Brand,Category,SubCategory,Price,Size,Quantity
163,KMK Green Raisins Afghan (Kismis),Kanji Manji Kothari,Grocery,Dry Fruits,215.0,200 gm,111
164,Satyam Chana Small,Satyam,Grocery,Pulses,67.0,500 gm,119
165,Organic Tattva Kala Chana,Organic Tattva,Grocery,Pulses,85.0,500 gm,116
166,Satyam Chana Green,Satyam,Grocery,Pulses,175.0,500 gm,92
167,Carnival Premium Seedless Black Raisins,Carnival,Grocery,Dry Fruits,270.0,250 gm,76
168,Tata Sampann Organic Unpolished Brown (Kala) Chana,Tata Sampann,Grocery,Pulses,90.0,500 gm,114
169,Nutraj California Walnut Kernels (Akrod Magaj),Nutraj,Grocery,Dry Fruits,499.0,200 gm,138
170,Premia Akrod Magaj (Walnut Kernels),Premia,Grocery,Grocery/Dry Fruits,220.0,100 gm,139
171,Nutraj California Whole Walnut (Akrod),,Grocery,Dry Fruits,999.0,1 Kg,72
172,Daliya,,Grocery,Dals,30.0,200 gm,78
173,Daliya,,Grocery,Dals,72.0,500 gm,41
174,Nutraj Daily Walnut Kernels,Nutraj,Grocery,Dry Fruits,899.0,500 gm,98
175,Udid (Urad) Black Whole,,Grocery,Pulses,76.0,500 gm,108
176,KMK Walnut Shell (Whole),KMK,Grocery,Dry Fruits,475.0,500 gm,129
177,KMK Walnut Kernel (Akrod),Kanji Manji Kothari,Grocery,Dry Fruits,325.0,150 gm,102
178,Satyam Dalia,Satyam,Grocery,Dals,45.0,200 gm,138
179,Satyam Udid (Urad) Whole,Satyam,Grocery,Pulses,106.0,500 gm,67
180,Moong Whole,,Grocery,Pulses,73.0,500 gm,143
181,Mix Dal,,Grocery,Dals,72.0,500 gm,86
182,Mix Dal,,Grocery,Dals,141.0,1 kg,86
183,Satyam Moong Whole,Satyam,Grocery,Pulses,109.0,500 gm,90
184,Premia Jardalu,Premia,Grocery,Grocery/Dry Fruits,78.0,100 gm,138
185,Premia Dry Apricot,Premia,Grocery,Grocery/Dry Fruits,299.0,200 gm,149
186,24 Mantra Organic Green Moong Whole,24 Mantra Organic,Grocery,Pulses,125.0,500 gm,78
187,Dal - Rice Mix,,Grocery,Dals,47.0,500 gm,144
188,Masoor Whole,,Grocery,Pulses,65.0,500 gm,72
189,Masoor Whole,,Grocery,Pulses,125.0,1 kg,85
190,Premia Mixed Dry Fruits,Premia,Grocery,Grocery/Dry Fruits,127.0,200 gm,75
191,Premia Mixed Dry Fruits,Premia,Grocery,Grocery/Dry Fruits,314.0,500 gm,46
192,Nutraj Mix Dry Fruits,Nutraj,Grocery,Dry Fruits,399.0,450 gm,46
193,Satyam Masoor Whole,Satyam,Grocery,Pulses,90.0,500 gm,120
